Book Title,Original Price,Discount Price,Discount Percentage,Product Ratings,Reviews
The Life-Changing Magic of Tidying,₹499,₹599,16% off,4.6,(227)
Developing Leadership & Management Skills,₹378,₹450,16% off,3.7,(3)
The First Minute,₹238,"₹2,122",88% off,4.2,(36)
The Psychology Of Money In Hindi,₹299,₹599,50% off,4,(85)
Personality Plus (English),₹319,₹350,8% off,4.4,(202)
Keys To A New Life,₹99,N/A,N/A,N/A,N/A
Manovigyan: Manovigyan Ke Adhar Evam Prayogik Manovigya...,₹169,₹190,11% off,4.5,(19)
Science of Success,₹528,₹595,11% off,N/A,N/A
The Miracles of Your Mind,₹207,₹245,15% off,4.4,"(1,213)"
Make Your Bed,₹288,₹329,12% off,4.5,(660)
Sports Psychology and sociology,₹200,₹300,33% off,4.2,(11)
How to Stop Worrying & Start Living,₹300,N/A,N/A,4.5,"(1,017)"
Be What You Wish,₹211,₹275,23% off,4.5,(100)
Time Wise,₹499,₹811,38% off,4.8,(10)
Pulling Your Own Strings,₹410,₹599,31% off,4.5,(26)
Dynamic Memory Methods,₹170,₹200,15% off,4.3,(165)
Law of Success,₹539,"₹1,399",61% off,N/A,N/A
Everything Is Out of Syllabus,₹318,₹399,20% off,4.5,(44)
Four Thousand Weeks,₹269,₹599,55% off,4.3,(40)
Evolve Your Brain,₹899,"₹1,687",46% off,4.3,(6)
Megaliving,₹229,₹250,8% off,4.2,(34)
The Subtle Art of Not Giving a F*ck,₹219,₹550,60% off,4.6,"(32,717)"
"The psychology of money  - Paperback, Morgan housel boo...",₹299,₹398,24% off,4.5,"(17,008)"
How to Stop Worrying and Start Living  - The First and ...,₹134,₹195,31% off,4.3,"(1,056)"
THE PSYCHOLOGY OF MAN'S POSSIBLE EVOLUTION,₹228,₹255,10% off,N/A,N/A
